device_id,timestamp,content,author
DEV-001,2024-01-15 08:45:00,设备温度异常上升，已通知现场人员检查,张工
DEV-001,2024-01-15 09:30:00,现场反馈散热风扇故障，正在更换,李工
DEV-001,2024-01-15 10:15:00,风扇更换完成，温度恢复正常,张工
DEV-002,2024-01-15 08:30:00,电压偏低，怀疑供电线路问题,王工
DEV-002,2024-01-15 09:20:00,设备离线，正在排查网络故障,赵工
DEV-002,2024-01-15 10:35:00,网络恢复，设备重新上线,赵工
DEV-003,2024-01-15 09:00:00,设备运行正常，例行巡检记录,陈工
DEV-003,2024-01-15 11:00:00,完成设备清洁维护,陈工
DEV-004,2024-01-15 09:30:00,温度持续升高，已启动应急预案,刘工
DEV-004,2024-01-15 11:00:00,确认温度传感器故障，需更换,刘工
DEV-004,2024-01-15 13:30:00,传感器更换中，预计2小时完成,周工
DEV-004,2024-01-15 15:30:00,传感器更换完成，数据恢复正常,周工
